"edades.Neighb","indice_edades","indice_educacion","indice_movilidad","indice_raza"
"Allston",-3.23671172829703,-1.67051649798318,-2.85561507475281,-2.34981418985863
"Back Bay ",0.388314428640094,-2.29263262136493,-0.717142606534928,2.1637830872677
"Beacon Hill ",0.676509669716503,-2.81318176253214,-0.812211577549087,1.95163754391647
"Brighton",-0.377883238877814,-1.15367470014814,-1.13961013891635,-0.144034107361897
"Charlestown",1.44143144829847,-0.511573796872264,1.20015884482386,2.30065553738403
"Dorchester",0.747001524897438,2.81109474542705,1.76395531968947,-2.61320520062975
"Downtown",-0.0347652501170245,1.03609920110144,-1.88196849653771,-0.952052763450498
"East Boston",0.670504433602523,4.43666541798146,1.95564535724724,-0.177441244044025
"Fenway",-4.07811419986144,-1.05159557826333,-2.36415065856912,-2.29950740766453
"Hyde Park",1.73954766606572,1.98704246988729,1.51917367612917,-1.32009154085719
"Jamaica Plain",1.11687643411818,-0.422899044227157,1.14985496011117,-0.271132133625586
"Longwood",-7.64874075599626,-2.12710607884108,-5.28866007967317,0.599755178643325
"Mattapan",1.3322033560336,2.76658446208798,1.58961541054958,-2.89473879453431
"Mission Hill ",-0.993264084394671,1.73164278376623,0.0927808493169102,-0.477519991513191
"North End ",-0.297616200164594,-2.66281912744059,0.896858611190745,3.62428453054172
"Roslindale",1.80722175183353,0.554839265085652,1.49888127946183,-0.0239592161408263
"Roxbury",0.47153089338362,3.84683376468493,1.23072932462458,-3.40965858185124
"South Boston",0.237932322984081,-1.00544853926175,1.58084649793208,2.90573158358817
"South Boston Waterfront",0.727575729210068,-2.55396117541083,-1.16372491634976,1.92267333351823
"South End ",1.42084891742273,0.226754040846402,0.783992046621658,-0.601946571400717
"West End ",1.41989406277007,-1.02049023268166,-0.0343561681397645,1.06619608487463
"West Roxbury",2.46970281873222,-0.111656995841413,0.994947539324423,1.00038486319813
