"prop","neigh"
-3.83997163125891,"Allston"
-2.89640691538919,"Back Bay"
-2.9578998178821,"Beacon Hill"
-4.39105509822872,"Brighton"
-4.12032004862536,"Charlestown"
-4.09016919081162,"Dorchester"
-2.83490821338296,"Downtown"
-4.20954962332927,"East Boston"
-4.41755742772169,"Fenway"
-4.4081589842468,"Hyde Park"
-4.47174891272083,"Jamaica Plain"
-3.69468961008955,"Longwood"
-3.16979811936272,"Mattapan"
-3.68120165326256,"Mission Hill"
-4.02044888175796,"North End"
-4.2552130694892,"Roslindale"
-3.58117682265873,"Roxbury"
-4.26638519950208,"South Boston"
-2.3403079505238,"South Boston Waterfront"
-3.05228946706108,"South End"
-3.24087151841939,"West End"
-4.40880936178706,"West Roxbury"
